metric_code,period_label,year,school_year_start_year,education_level,source_publisher,indicator_code,value,data_status,break_flag
K2,SY2004–2005,2004,2004,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13017973,Official,
K2,SY2005–2006,2005,2005,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13083744,Official,
K2,SY2006–2007,2006,2006,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13006648,Official,
K2,SY2007–2008,2007,2007,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13145210,Official,
K2,SY2008–2009,2008,2008,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13411286,Official,
K2,SY2009–2010,2009,2009,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13686643,Official,
K2,SY2014–2015,2014,2014,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,14460377,Official,
K2,SY2015–2016,2015,2015,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,14453060,Official,
K2,SY2016–2017,2016,2016,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,14293635,Official,
K2,SY2017–2018,2017,2017,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,14039867,Official,
K2,SY2018–2019,2018,2018,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13418841,Official,
K2,SY2019–2020,2019,2019,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13195088,Official,
K2,SY2020–2021,2020,2020,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13214472,Official,
K2,SY2021–2022,2021,2021,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12529116,Official,
K2,SY2022–2023,2022,2022,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12728441,Official,
K2,SY2023–2024,2023,2023,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,12953380,Official,
K2,SY2024–2025,2024,2024,Elementary,World Bank Open Data (UNESCO UIS / ILO),SE.PRM.ENRL,13061453,Official,
K2,SY1971–1972,1971,1971,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,1719386,Official,
K2,SY1972–1973,1972,1972,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,1800684,Official,
K2,SY1973–1974,1973,1973,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,1875012,Official,
K2,SY1974–1975,1974,1974,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,1958048,Official,
K2,SY1975–1976,1975,1975,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2112176,Official,
K2,SY1976–1977,1976,1976,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2291707,Official,
K2,SY1977–1978,1977,1977,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2508519,Official,
K2,SY1978–1979,1978,1978,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2696460,Official,
K2,SY1979–1980,1979,1979,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2820469,Official,
K2,SY1980–1981,1980,1980,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2917912,Official,
K2,SY1981–1982,1981,1981,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2928525,Official,
K2,SY1982–1983,1982,1982,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,2935732,Official,
K2,SY1983–1984,1983,1983,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3092128,Official,
K2,SY1984–1985,1984,1984,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3204551,Official,
K2,SY1985–1986,1985,1985,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3323512,Official,
K2,SY1986–1987,1986,1986,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3214159,Official,
K2,SY1987–1988,1987,1987,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3420921,Official,
K2,SY1988–1989,1988,1988,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3494460,Official,
K2,SY1989–1990,1989,1989,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3737104,Official,
K2,SY1990–1991,1990,1990,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,3961639,Official,
K2,SY1991–1992,1991,1991,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4033597,Official,
K2,SY1992–1993,1992,1992,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4208151,Official,
K2,SY1993–1994,1993,1993,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4421649,Official,
K2,SY1994–1995,1994,1994,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4590037,Official,
K2,SY1995–1996,1995,1995,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4772647,Official,
K2,SY1996–1997,1996,1996,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4809863,Official,
K2,SY1997–1998,1997,1997,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,4888246,Official,
K2,SY1998–1999,1998,1998,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,5024810,Official,
K2,SY1999–2000,1999,1999,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,5117459,Official,
K2,SY2001–2002,2001,2001,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,5386434,Official,
K2,SY2002–2003,2002,2002,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,5816699,Official,
K2,SY2003–2004,2003,2003,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6069063,Official,
K2,SY2004–2005,2004,2004,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6308792,Official,
K2,SY2005–2006,2005,2005,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6352482,Official,
K2,SY2006–2007,2006,2006,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6301582,Official,
K2,SY2007–2008,2007,2007,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6365985,Official,
K2,SY2008–2009,2008,2008,Secondary,World Bank Open Data (UNESCO UIS / ILO),SE.SEC.ENRL,6509273,Official,
